"","COU_label.en","obsTime","World","Unallocated","Allocated_Share","totalFDI","total_share","Difference","text","totalFDIHaven","Haven_share","totalFDISmallHaven","SmallHaven_share","totalFDILargeHaven","LargeHaven_share"
"46","Germany",2008,28109.649122807,-1.4619883040936,100,26910.8187134503,96,4,"96 (100)",36.5497076024314,0,-1029.23976608185,-4,1065.78947368428,4
"47","Germany",2009,66599.055293137,0,100,65376.4934704083,98,2,"98 (100)",19683.2453459292,30,-419.560989163666,-1,20102.8063350928,31
"48","Germany",2010,83494.039735099,1.3245033112583,100,82241.059602649,98,2,"98 (100)",6643.70860927145,8,413.24503311258,1,6230.46357615887,8
"49","Germany",2011,101939.61319048,0,100,100122.443300404,98,2,"98 (100)",14476.1374704326,14,180.882148323363,0,14295.2553221093,14
"50","Germany",2012,81152.196658098,0,100,81152.1966580973,100,0,"100 (100)",14681.8663239074,18,1245.31362467865,2,13436.5526992288,17
"51","Germany",2013,87137.972919156,1.932e-11,100,87137.9729191558,100,0,"100 (100)",16039.576529935,18,1056.84056816673,1,14982.7359617683,17
"52","Germany",2014,88596.084649065,0.70187077087641,100,88595.382778294,100,0,"100 (100)",16195.5353588961,18,1082.29136261112,1,15113.243996285,17
"53","Germany",2015,78135.469772601,0.69328896283971,100,78134.7764836387,100,0,"100 (100)",14136.3749306711,18,939.862451469775,1,13196.5124792014,17
"54","Greece",2013,784.54798884906,-1.3274923669189,100,785.875481215987,100,0,"100 (100)",157.971591663354,20,-144.696667994158,-18,302.668259657511,39
"55","Greece",2014,3113.9047366326,0.92875149263609,100,3112.97598513994,100,0,"100 (100)",1052.31524479236,34,-55.72508955818,-2,1108.04033435054,36
"56","Greece",2015,2351.0371602884,0,100,2351.03716028841,100,0,"100 (100)",933.333333333341,40,-80.6433721575152,-3,1013.97670549086,43
"57","Hungary",2011,8088.1437766742,2.7349078616736,100,8085.40888376997,100,0,"100 (100)",4382.56143552305,54,172.892729647805,2,4209.66870587524,52
"58","Hungary",2012,8019.9624193254,3.2214720024194,100,8016.74093397916,100,0,"100 (100)",4937.78942990706,62,268.062489158142,3,4669.72694074892,58
"59","Hungary",2013,7462.9757131286,2.9293542360576,100,7052.30896356898,94,6,"94 (100)",4063.79904974331,58,0.02026104998754,0,4063.77878869332,58
"60","Hungary",2014,5525.1995644382,3.4323965658877,100,5475.03426846717,99,1,"99 (100)",4527.86016711437,83,289.4206107753,5,4238.43955633907,77
"61","Hungary",2015,3927.9021934569,3.4449486736834,100,3898.50628953344,99,1,"99 (100)",3007.14753540549,77,-106.109830440481,-3,3113.25736584597,80
"62","Iceland",2013,308.0466238001,3.51e-12,100,308.046623800097,100,0,"100 (100)",45.1756495000757,15,6.19711462354245,2,38.9785348765333,13
"63","Iceland",2014,170.06230223573,2.21e-12,100,170.062302235729,100,0,"100 (100)",33.1948576669943,20,0.08479706790758,0,33.1100605990867,19
"64","Iceland",2015,255.98208033636,5.46e-12,100,255.982080336359,100,0,"100 (100)",31.0299790442531,12,3.34379304679971,1,27.6861859974534,11
"65","Ireland",2012,13907.455012853,91.259640102828,99,6029.5629820052,43,56,"43 (99)",3641.3881748072,60,-5.1413881748072,0,3646.52956298201,60
"66","Ireland",2013,16393.203239081,-195.14137793708,101,8989.77830877476,55,46,"55 (101)",6168.8570290721,69,0,0,6168.8570290721,69
