iso3_o,iso2_o,iso3_d,iso2_d,year,contig,comlang_off,comlang_ethno,comcol,col45,distw,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,area_o,area_d,tdiff,heg_o,heg_d,conflict,indepdate,col_to,col_fr,colony,curcol,sibling,cursib,empire,sever,sib_conflict,comcur,comrelig,comleg_pretrans,comleg_posttrans,transition_legalchange,legold_o,legold_d,legnew_o,legnew_d,gatt_o,gatt_d,pta_bb,fta_wto,fta_bb,fta_hmr,acp_to_eu,eu_to_acp,gsp_o_d,gsp_d_d,flaggsp_o_d,flaggsp_d_d,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,eu_o,eu_d
CZE,,BES,,2005,0,0,,0,,8536,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,BES,,2005,0,0,,0,,8137,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,,BES,,2005,0,0,,0,,9050,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,BES,,2005,0,0,,0,,7542,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,,BES,,2005,0,0,,0,,8178,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,,BES,,2005,0,0,,0,,9173,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,,BES,,2005,0,0,,0,,8858,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,BES,,2005,0,0,,0,,6960,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,,BES,,2005,0,1,,0,,6990,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,,BES,,2005,0,0,,0,,8360,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,,BES,,2005,0,0,,0,,13975,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,BES,,2005,0,0,,0,,14426,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,,BES,,2005,0,0,,0,,9057,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,,BES,,2005,0,0,,0,,7866,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,,BES,,2005,0,1,,0,,7828,,0.018905,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,,BES,,2005,0,1,,0,,13154,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
