"COU","COU_label.fr","COU_label.en","CORP_TAX","CORP_TAX_label.fr","CORP_TAX_label.en","TAR","TAR_label.fr","TAR_label.en","TIME_FORMAT","TIME_FORMAT_label.en","obsTime","obsValue"
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2005",22.12
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2006",22.12
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2007",22.12
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2008",19.5
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2009",19.5
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2010",18
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2011",16.5
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2012",15
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2013",15
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2014",15
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2015",15
"CAN","Canada","Canada","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2016",15
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2000",31
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2001",31
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2002",31
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2003",31
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2004",28
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2005",26
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2006",24
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2007",24
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2008",21
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2009",20
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2010",19
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2011",19
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2012",19
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2013",19
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2014",19
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2015",19
"CZE","République tchèque","Czech Republic","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2016",19
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2000",32
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2001",30
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2002",30
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2003",30
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2004",30
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2005",28
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2006",28
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2007",25
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2008",25
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2009",25
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2010",25
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2011",25
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2012",25
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2013",25
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2014",24.5
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2015",23.5
"DNK","Danemark","Denmark","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2016",22
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2000",29
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2001",29
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2002",29
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2003",29
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2004",29
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2005",26
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2006",26
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2007",26
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2008",26
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2009",26
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2010",26
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2011",26
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2012",24.5
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2013",24.5
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2014",20
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2015",20
"FIN","Finlande","Finland","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2016",20
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2000",37.76289
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2001",36.42969
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2002",35.42979
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2003",35.42979
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2004",35.42979
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2005",34.92984
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2006",34.42989
